series,time,juv_f,adult_f,juv,adult,sim
5,4,1.0607058877307016,0.887305222319902,1.54901915666395,1.55360622965108,7
5,5,1.0706990083680215,0.8807690334795681,1.07847685209768,0.878554640536505,7
5,6,1.0717951907102643,0.8852283540437896,-0.753044290768257,0.33590040808072,7
5,7,1.0690403274703337,0.8830972161438886,-1.28534570659737,0.237657733094583,7
6,1,0.035982029384564476,0.30133925426925273,-0.411580972359574,0.0317520670695359,7
6,2,-0.10304604778607004,0.22615524209603644,-0.557577238979657,-0.289928500472415,7
6,3,-0.28471357107594647,0.07556161461153324,-0.411580972359574,-0.513687138536336,7
6,4,-0.44064848784596927,-0.08222806888958714,0.247763713962973,-0.394326913239996,7
6,5,-0.5567275703554014,-0.23215086643522975,-0.0773342771834238,0.0959451701662267,7
6,6,-0.6262885810374395,-0.3567739124492627,-1.28534570659737,-0.820405893549528,7
6,7,-0.6298811702072057,-0.41536050433748806,-0.350373814296942,-0.918648568535666,7
1,1,-0.25876493431579506,-0.6925530651299707,-0.0773342771834238,-0.340495417720542,8
1,2,0.5055280735845502,0.6704276495728501,-1.28534570659737,-0.820405893549528,8
1,3,0.06613867992726777,0.48934155250260797,-0.647128101242814,-1.15860380645016,8
1,4,-0.015901374636865806,0.24207475582331606,0.325336199287891,0.183826237575128,8
1,5,0.14301105325118654,0.38594594285213557,-0.197958358611432,0.689403313388867,8
1,6,0.14375825194978503,0.4686121686988959,0.618448275560071,0.33590040808072,8
1,7,0.08856109972536429,0.39687392315631675,0.536159141595623,0.237657733094583,8
1,8,0.10977601776569133,0.39948010001408596,-1.28534570659737,-1.03002692733709,8
2,1,0.8455458704503978,1.0053059407165585,0.268149338927929,0.211176185625796,8
2,2,-0.2794451275001242,0.6162257774596904,-0.295005204872071,-0.00229750481991066,8
2,3,0.7004212714287159,-0.07657145297626862,-0.882675230126054,-0.03779642317925,8
2,4,0.837105772228995,1.021248353008538,2.18205975144069,0.841477483894459,8
2,5,-0.3065799145971234,0.5967848284536625,-0.882675230126054,1.41963063470958,8
2,6,0.7286566632278625,-0.06604886168638158,2.62143279142576,1.04263043800892,8
