variable,MSE,MSE_SE,MAE,MAE_SE,correlation,count,covars,tau_,regularization
MacPyr,2.062755548345496,0.5456618490415714,1.2148750091167198,0.17129422940793212,0.5074725442243451,21,"[""StrPur"", ""PycHel""]",0.2,10.0
MacJuv,1.1422378751754005,0.27589410026626837,0.8983794395168242,0.12945119887989398,0.6333989755831442,21,String[],0.5,10.0
MacPyr,1.352182973606544,0.3923300875176545,0.9384069102426826,0.15355380887743,0.6478587651866531,21,String[],0.5,10.0
MacJuv,1.134656525394441,0.23995241665545267,0.9234542010326289,0.11872002021344803,0.647857042187121,21,"[""StrPur""]",0.5,10.0
MacPyr,1.6665010334275487,0.5240225304610953,1.0261537166189747,0.17514416680218245,0.5881944989844852,21,"[""StrPur""]",0.5,10.0
MacJuv,1.3841019655445597,0.3845559296932276,0.9676165908620811,0.14963624203932085,0.6012107128583981,21,"[""PycHel""]",0.5,10.0
MacPyr,2.432566555553672,0.6866065507793735,1.300442830230648,0.19253765876515855,0.44828791944214413,21,"[""PycHel""]",0.5,10.0
MacJuv,1.3357837822184409,0.3272878443306977,0.9610646128556519,0.14355113934327665,0.5899366449376506,21,"[""StrPur"", ""PycHel""]",0.5,10.0
MacPyr,2.7310124006274057,1.024163602014634,1.1896166882682226,0.2564980054134097,0.4517509262118939,21,"[""StrPur"", ""PycHel""]",0.5,10.0
MacJuv,0.6895986228604121,0.23890084706551584,0.626797893238065,0.12180374047884066,0.8128561989715781,21,String[],0.2,0.0
MacPyr,1.8845293966175498,0.49597111322705983,1.0858759279039123,0.18780346985830268,0.377555183329955,21,String[],0.2,0.0
MacJuv,21.90012885885275,5.6409441200653045,3.5021437861500457,0.6940863692647832,-0.3634741568367413,21,"[""StrPur""]",0.05,100.0
MacPyr,4.449331497432586,1.0808707535599038,1.7286527905162308,0.270286054696967,-0.32411161943951927,21,"[""StrPur""]",0.05,100.0
MacJuv,13.407725260788741,4.70726835549689,2.4873908008065717,0.600858230569058,-0.09970262415364071,21,"[""PycHel""]",0.05,100.0
MacPyr,2.8540957316146116,0.844925364705276,1.3685956760938067,0.22147704248882633,0.1521080201354107,21,"[""PycHel""]",0.05,100.0
MacJuv,0.9452367677214949,0.3122435313673612,0.8137444732982899,0.11896568830927325,0.7190981832934267,21,"[""StrPur"", ""PycHel""]",0.05,100.0
MacPyr,1.6745589258511226,0.48589473239972725,1.0569349561676806,0.16695020579231784,0.612537454709471,21,"[""StrPur"", ""PycHel""]",0.05,100.0
MacJuv,0.7222180496167946,0.2078629744194897,0.6799764175211158,0.11398467467864784,0.7701199565143098,21,String[],0.1,100.0
MacPyr,0.9961271651468092,0.35408725601732544,0.7696390067143691,0.14208852249399467,0.7414857240754398,21,String[],0.1,100.0
MacJuv,0.7580111556757484,0.21140194453015043,0.7206108635617801,0.10925455116206699,0.7527990963442293,21,"[""StrPur""]",0.1,100.0
MacPyr,1.3267840645561844,0.4329342504391416,0.8979948723838171,0.16130549800433905,0.6486628999053943,21,"[""StrPur""]",0.1,100.0
MacJuv,1.2205799576095007,0.34765568111881356,0.8967553764789781,0.14429306157358146,0.705997470109208,21,"[""PycHel""]",0.1,100.0
MacPyr,1.259570513873365,0.38241919986928125,0.9481618412205878,0.13426832030053668,0.6831637882827996,21,"[""PycHel""]",0.1,100.0
MacJuv,0.8490578377274192,0.1853946560760468,0.7923348500959894,0.10518158656599197,0.7467352520741444,21,"[""StrPur"", ""PycHel""]",0.1,100.0
MacPyr,1.6596686831034042,0.43422201231399743,1.084624525935833,0.15544425380853968,0.5954827532466175,21,"[""StrPur"", ""PycHel""]",0.1,100.0
MacJuv,0.6895986228604121,0.23890084706551584,0.626797893238065,0.12180374047884066,0.8128561989715781,21,String[],0.2,0.0
MacPyr,1.8845293966175498,0.49597111322705983,1.0858759279039123,0.18780346985830268,0.377555183329955,21,String[],0.2,0.0
MacJuv,0.592759776394169,0.18458337975713981,0.6077121986890864,0.10569902079930674,0.8119237935321036,21,"[""StrPur""]",0.2,100.0
MacPyr,1.0838797847552688,0.3427613256545372,0.8545765784100461,0.13296214807008935,0.7157953064848346,21,"[""StrPur""]",0.2,100.0
MacJuv,0.7834439752414329,0.1976855163198471,0.7240185081828985,0.11385103755566817,0.7777918789370942,21,"[""PycHel""]",0.2,100.0
MacPyr,1.118979075985048,0.32202839398761246,0.8979093077160781,0.1250475811645074,0.7110194524483773,21,"[""PycHel""]",0.2,100.0
MacJuv,0.8127373118414537,0.21281605189372263,0.7371550872579762,0.11604733714548104,0.7720614889850727,21,"[""StrPur"", ""PycHel""]",0.2,100.0
