"","PERIOD","1_MacJuv","1_MacPyr","2_MacJuv","2_MacPyr","3_MacJuv","3_MacPyr","4_MacJuv","4_MacPyr","5_MacJuv","5_MacPyr","6_MacJuv","6_MacPyr"
"20",21,-1.04979857771413,-2.07495487016591,-1.28534570659737,-2.07495487016591,0.0522966621743731,-0.918648568535666,-0.557577238979657,-0.00229750481991066,-0.557577238979657,0.62642256324334,-1.28534570659737,0.0317520670695359
"21",22,-1.28534570659737,-2.07495487016591,0.0522966621743731,-2.07495487016591,-1.28534570659737,-1.49680171935079,-1.04979857771413,-0.0748735798212954,0.107665271599244,-0.00229750481991066,-1.28534570659737,-0.113675863621332
"22",23,-1.28534570659737,-2.07495487016591,-1.28534570659737,-2.07495487016591,-1.04979857771413,-2.07495487016591,1.09800577332454,-0.513687138536336,1.51490383518118,1.20457571405846,-0.350373814296942,-0.154371675325503
"23",24,-1.28534570659737,-2.07495487016591,-1.28534570659737,-2.07495487016591,-1.04979857771413,-2.07495487016591,0.536159141595623,0.402663925179419,0.969573865763958,1.39396403472483,-0.882675230126054,-0.00229750481991066
"24",25,-1.28534570659737,-1.73675695726528,-1.28534570659737,-2.07495487016591,-0.244457624771499,-0.580450655635035,0.95132323290992,0.263324333079335,0.737013533688995,1.01229623388198,0.287843791057613,-0.340495417720542
"26",27,-1.28534570659737,-1.31067797695575,0.425169289256568,0.3124031166882,0.57286170510937,0.15554899795196,-0.557577238979657,-0.00229750481991066,0.496980431166713,0.464477287193792,-0.753044290768257,-0.394326913239996
"27",28,-1.28534570659737,-2.07495487016591,1.75356588144431,0.593054166306864,1.01561225867533,0.841477483894459,-0.753044290768257,-0.00229750481991066,-0.350373814296942,0.575855645995213,-1.28534570659737,-0.918648568535666
"28",29,-1.28534570659737,-2.07495487016591,-0.882675230126054,0.719195719066381,-1.28534570659737,0.358753856381792,0.440259246743124,-0.451873776521963,-0.350373814296942,0.211176185625796,-0.557577238979657,-0.580450655635035
"29",30,-1.28534570659737,-2.07495487016591,1.07349029187056,-0.0748735798212954,0.820145206886725,-1.15860380645016,0.158212851699816,-0.289928500472415,-0.114826685413702,-0.513687138536336,-1.28534570659737,-2.07495487016591
"30",31,-1.28534570659737,-2.07495487016591,0.360554903247701,0.7479605931282,1.29893402349436,1.01229623388198,1.26030809158832,1.09085766597102,1.3870270915182,1.39396403472483,-1.28534570659737,-2.07495487016591
"31",32,-1.28534570659737,-2.07495487016591,1.21892984479253,-0.242252742734404,0.932480585477596,0.211176185625796,-0.197958358611432,0.484104044107036,0.204712117859884,0.890556267503324,-1.28534570659737,-2.07495487016591
"32",33,-1.28534570659737,-2.07495487016591,0.660716418139809,0.789329336440921,-0.350373814296942,0.183826237575128,0.0522966621743731,0.263324333079335,0.343212400482484,0.802675200094423,-1.28534570659737,-2.07495487016591
"33",34,-1.28534570659737,-2.07495487016591,0.796430457054371,0.719195719066381,0.268149338927929,0.183826237575128,0.204712117859884,0.263324333079335,-0.00891049588825903,0.7479605931282,-0.753044290768257,-2.07495487016591
"34",35,-1.28534570659737,-2.07495487016591,-0.350373814296942,0.288224650342709,0.30689240576723,-0.0748735798212954,-0.0773342771834238,-0.513687138536336,-0.411580972359574,-0.154371675325503,1.06338689461112,1.19635792656535
"35",36,-1.28534570659737,-2.07495487016591,0.325336199287891,-0.340495417720542,0.18192760153217,-0.820405893549528,0.247763713962973,-0.451873776521963,0.496980431166713,-1.15860380645016,-0.114826685413702,0.522024150475759
"37",38,-0.0773342771834238,-0.732524826140627,-0.154906762508342,0.55829502509895,-0.647128101242814,0.540356727635874,-0.753044290768257,0.761979388390252,-0.647128101242814,1.42592574899458,0.133488665124307,0.991442680625274
"40",41,-1.28534570659737,-2.07495487016591,-1.28534570659737,-2.07495487016591,-1.28534570659737,-2.07495487016591,-0.480004753654739,0.263324333079335,-1.04979857771413,0.593054166306864,-1.28534570659737,-2.07495487016591
"41",42,-1.04979857771413,-2.07495487016591,2.05280013245317,0.33590040808072,1.63126661249232,0.288224650342709,-0.350373814296942,-0.732524826140627,0.857637615117003,-0.242252742734404,-1.28534570659737,-2.07495487016591
"42",43,-1.28534570659737,-2.07495487016591,-0.411580972359574,1.8380922225014,-1.28534570659737,1.40045510782279,0.560883328171132,0.60990521788466,0.957470705085681,1.43217370842281,-1.28534570659737,-2.07495487016591
