"","SITE","PERIOD","MesFra","StrPur","PycHel","RELIEF"
"116",2,16,1.09665435695393,0.948277359333769,-0.532124211008807,-0.320120125122182
"117",2,36,0.190301501984271,0.288589589331419,-0.532124211008807,-0.320120125122182
"118",2,60,-0.179335356472178,-1.32437123768226,0.876950687961346,-0.320120125122182
"119",2,27,0.185636456500996,0.333427730806358,-0.532124211008807,-0.320120125122182
"120",2,75,0.265256752044912,0.168379768984343,-0.532124211008807,-0.320120125122182
"121",2,54,-2.11374904040651,-2.86053485668519,-0.532124211008807,-0.320120125122182
"122",2,70,-0.0128121405093175,-0.245323002717926,-0.532124211008807,-0.320120125122182
"123",2,71,0.204115856175978,-0.00736824727557938,-0.532124211008807,-0.320120125122182
"124",2,63,-1.09847436530871,-0.33289702861387,1.70120666456634,-0.320120125122182
"125",2,72,0.0521756346008748,0.109617972712644,-0.532124211008807,-0.320120125122182
"126",2,57,-0.0574897621687688,-1.09514626556116,1.33057148574041,-0.320120125122182
"127",2,61,0.261059590095098,-0.178615621812042,0.876950687961346,-0.320120125122182
"128",2,41,0.199540812196647,0.995248904281253,0.292131765596184,-0.320120125122182
"129",2,12,0.987205690387629,0.512726300327063,-0.532124211008807,-0.320120125122182
"130",2,43,-2.40220376539869,-2.93082584898137,-0.532124211008807,-0.320120125122182
"131",2,44,-1.90908715598089,-3.09848961212754,-0.532124211008807,-0.320120125122182
"132",3,24,0.0521756346008748,0.734465541761281,-0.532124211008807,-0.582861461242286
"133",3,18,0.766694121661117,1.09572979407482,-0.532124211008807,-0.582861461242286
"134",3,23,0.122031100192241,1.01954093429684,-0.532124211008807,-0.582861461242286
"135",3,39,0.455118940172577,0.961636082491015,-0.532124211008807,-0.582861461242286
"136",3,38,0.0233693963560208,0.883761723418285,-0.532124211008807,-0.582861461242286
"137",3,4,1.01253629723338,-0.338962046593591,-0.532124211008807,-0.582861461242286
"138",3,35,0.489523823248067,0.826022354568187,-0.532124211008807,-0.582861461242286
"139",3,33,0.171454919391726,0.529096261550772,0.876950687961346,-0.582861461242286
"140",3,1,0.793083508171714,-0.692056020516858,-0.532124211008807,-0.582861461242286
"141",3,74,-0.577455478233995,-0.442565288028803,-0.532124211008807,-0.582861461242286
"142",3,2,1.03416157582414,-0.323901646721825,-0.532124211008807,-0.582861461242286
"143",3,16,0.539623553571872,0.575152316958193,-0.532124211008807,-0.582861461242286
"144",3,6,0.833746969010848,-0.0223609542465697,-0.532124211008807,-0.582861461242286
"145",3,34,0.166664215180403,0.640354559601796,0.292131765596184,-0.582861461242286
"146",3,19,0.872211303254987,0.978337049558126,-0.532124211008807,-0.582861461242286
"147",3,25,0.387954296344737,0.896552424947209,-0.532124211008807,-0.582861461242286
"148",3,10,1.1994118330734,0.488935704295444,-0.532124211008807,-0.582861461242286
"149",3,3,1.08087366806466,-0.346621687368507,-0.532124211008807,-0.582861461242286
"150",3,37,0.0852707593064385,0.425701963328804,-0.532124211008807,-0.582861461242286
"151",3,63,-2.60686564982431,-2.00596319384613,-0.532124211008807,-0.582861461242286
"152",3,21,0.507611667578812,0.940489991140347,-0.532124211008807,-0.582861461242286
"153",3,76,-0.316903030898741,0.0744968436847314,-0.532124211008807,-0.582861461242286
"154",3,11,0.762545906485342,0.463350731999758,-0.532124211008807,-0.582861461242286
"155",3,47,-2.89532037481649,-3.93426714812051,0.876950687961346,-0.582861461242286
"156",3,31,0.0633792816903088,0.512726300327063,0.292131765596184,-0.582861461242286
"157",3,36,0.0465069441540731,0.45459962255681,-0.532124211008807,-0.582861461242286
"158",3,22,0.269429297067544,0.949382457123363,-0.532124211008807,-0.582861461242286
"159",3,7,0.938556258959425,0.140759702029782,-0.532124211008807,-0.582861461242286
"160",3,5,1.17069861846807,-0.0347956023543916,-0.532124211008807,-0.582861461242286
"161",3,57,-2.60686564982431,-2.68549922424419,0.292131765596184,-0.582861461242286
"162",3,32,0.222127372317496,0.90415803501884,0.876950687961346,-0.582861461242286
"163",3,15,0.86323997520061,0.800843993519604,-0.532124211008807,-0.582861461242286
"164",3,71,-0.859102334174084,-0.649484336781653,-0.532124211008807,-0.582861461242286
"165",3,44,-2.89532037481649,-3.66376216233475,0.292131765596184,-0.582861461242286
"166",3,13,1.229173346975,0.823626849721429,-0.532124211008807,-0.582861461242286
"167",3,28,-0.922853937145289,-0.265480046040133,-0.532124211008807,-0.582861461242286
"168",3,67,-1.2572224559359,-0.829389679771227,0.292131765596184,-0.582861461242286
"169",3,9,0.988720955895483,0.12726637365458,-0.532124211008807,-0.582861461242286
"170",3,72,-0.800596762334603,-0.533941699805805,-0.532124211008807,-0.582861461242286
"171",3,29,-0.105162313073063,0.327284011195079,-0.532124211008807,-0.582861461242286
"172",3,61,-1.51096703421907,-1.05832879283644,0.292131765596184,-0.582861461242286
"173",3,75,-1.62063243098871,-0.366958352203608,-0.532124211008807,-0.582861461242286
"174",3,68,-0.90096245952916,-0.73753055503965,-0.532124211008807,-0.582861461242286
"175",3,65,-1.33217770599654,-0.974299972800264,0.876950687961346,-0.582861461242286
"176",3,17,0.489523823248067,0.355841180548118,-0.532124211008807,-0.582861461242286
"177",3,50,-2.40220376539869,-3.47183582055289,-0.532124211008807,-0.582861461242286
"178",3,41,-0.0316172059656732,0.846688442644792,-0.532124211008807,-0.582861461242286
