time,series,juv,adult
12,3,0.0224988127852531,-0.918648568535666
13,3,-1.28534570659737,-2.07495487016591
14,3,-1.28534570659737,-2.07495487016591
15,3,-1.28534570659737,-2.07495487016591
16,3,0.885981319317528,-2.07495487016591
17,3,-0.753044290768257,-0.918648568535666
18,3,-1.28534570659737,-0.00229750481991066
19,3,-1.28534570659737,-2.07495487016591
21,3,0.0522966621743731,-0.918648568535666
22,3,-1.28534570659737,-1.49680171935079
23,3,-1.04979857771413,-2.07495487016591
24,3,-1.04979857771413,-2.07495487016591
25,3,-0.244457624771499,-0.580450655635035
27,3,0.57286170510937,0.15554899795196
28,3,1.01561225867533,0.841477483894459
29,3,-1.28534570659737,0.358753856381792
30,3,0.820145206886725,-1.15860380645016
31,3,1.29893402349436,1.01229623388198
32,3,0.932480585477596,0.211176185625796
33,3,-0.350373814296942,0.183826237575128
34,3,0.268149338927929,0.183826237575128
35,3,0.30689240576723,-0.0748735798212954
36,3,0.18192760153217,-0.820405893549528
37,3,0.409676885824221,0.358753856381792
38,3,-0.647128101242814,0.540356727635874
39,3,-1.04979857771413,-0.451873776521963
41,3,-1.28534570659737,-2.07495487016591
42,3,1.63126661249232,0.288224650342709
43,3,-1.28534570659737,1.40045510782279
44,3,0.680750496528519,0.841477483894459
45,3,0.080640366374898,0.936907007196916
46,3,1.17437674695018,2.40855777342672
47,3,0.842929723214439,1.78272886487359
50,3,0.226636632994981,0.719195719066381
51,3,0.469311835350729,0.484104044107036
52,3,2.66991357007458,0.237657733094583
53,3,2.55030029623837,1.90072506912424
54,3,1.45317589653726,1.16265238383465
55,3,2.01245485074333,0.263324333079335
57,3,-0.753044290768257,1.29734886988151
60,3,0.287843791057613,0.402663925179419
61,3,0.107665271599244,0.15554899795196
63,3,-0.882675230126054,0.358753856381792
65,3,0.607382594331199,-0.00229750481991066
67,3,-1.28534570659737,0.288224650342709
68,3,0.0224988127852531,-0.00229750481991066
69,3,0.0224988127852531,-0.154371675325503
70,3,0.30689240576723,-0.113675863621332
71,3,0.226636632994981,-0.340495417720542
72,3,2.15155769612041,0.423781475489621
1,4,-1.28534570659737,-0.113675863621332
2,4,0.483310842846213,-0.653026730636419
3,4,0.584598078003485,0.7479605931282
4,4,0.204712117859884,0.761979388390252
5,4,-0.480004753654739,0.575855645995213
6,4,-1.28534570659737,0.0644660122787884
7,4,2.26370376518391,0.789329336440921
8,4,1.51490383518118,1.84570961501912
9,4,-1.28534570659737,0.815810883909706
10,4,-1.28534570659737,0.15554899795196
11,4,-1.28534570659737,-0.394326913239996
12,4,0.607382594331199,-0.918648568535666
13,4,1.44000230030624,1.5037117015434
14,4,-0.244457624771499,0.503279570993828
15,4,-1.04979857771413,0.522024150475759
16,4,1.66839942263032,0.263324333079335
17,4,0.548652756438605,-0.154371675325503
18,4,1.36622428111376,0.358753856381792
19,4,1.49827073621582,1.08143272180895
21,4,-0.557577238979657,-0.00229750481991066
22,4,-1.04979857771413,-0.0748735798212954
23,4,1.09800577332454,-0.513687138536336
24,4,0.536159141595623,0.402663925179419
25,4,0.95132323290992,0.263324333079335
26,4,0.18192760153217,0.0317520670695359
27,4,-0.557577238979657,-0.00229750481991066
28,4,-0.753044290768257,-0.00229750481991066
29,4,0.440259246743124,-0.451873776521963
30,4,0.158212851699816,-0.289928500472415
31,4,1.26030809158832,1.09085766597102
32,4,-0.197958358611432,0.484104044107036
33,4,0.0522966621743731,0.263324333079335
34,4,0.204712117859884,0.263324333079335
35,4,-0.0773342771834238,-0.513687138536336
