variable,MSE,MSE_SE,MAE,MAE_SE,correlation,count,covars,covars_ind,tau_,tau_ind,regularization,regularization_ind
MacJuv,0.7755415016664557,0.18943256000511133,0.7455425877638479,0.1048111996632137,0.5003699546450985,21,"[""StrPur"", ""PycHel""]",4,0.5,4,100.0,3
MacPyr,0.8330699523196285,0.30368407204619213,0.6556114912164682,0.14199357818305508,0.6637666161942235,21,"[""StrPur"", ""PycHel""]",4,0.5,4,100.0,3
MacJuv,1.3379469481787023,0.31751704420538374,0.9596929823020924,0.14438426643835153,0.35650738875214094,21,String[],1,0.05,1,500.0,4
MacPyr,1.177216215304637,0.3654968142643163,0.8368125131758541,0.15442814398563298,0.6496943445253496,21,String[],1,0.05,1,500.0,4
MacJuv,0.853389025893934,0.16902694425682258,0.8158918334491073,0.0968786720607245,0.4504286809398203,21,"[""StrPur""]",2,0.05,1,500.0,4
MacPyr,1.3369746265815217,0.45995302457116544,0.8755440540069879,0.16887824550168246,0.38174692628921036,21,"[""StrPur""]",2,0.05,1,500.0,4
MacJuv,3.431153699867965,1.4053604392314643,1.3189246189472574,0.2908256822740039,0.20776635071579674,21,"[""PycHel""]",3,0.05,1,500.0,4
MacPyr,2.46154141626077,0.7946054104398799,1.1316116092702617,0.2430017059637173,0.04516949399913801,21,"[""PycHel""]",3,0.05,1,500.0,4
MacJuv,0.8649658268458305,0.1975389193000467,0.7781487901325896,0.11389694624111256,0.45160647206325866,21,"[""StrPur"", ""PycHel""]",4,0.05,1,500.0,4
MacPyr,0.950005459173702,0.31422649603777836,0.7212813343101675,0.14658763521345294,0.675065416549819,21,"[""StrPur"", ""PycHel""]",4,0.05,1,500.0,4
MacJuv,0.9289525222900032,0.20401194328182043,0.8121530723469184,0.11605169308706016,0.4532026301873433,21,String[],1,0.1,2,500.0,4
MacPyr,1.1001551088942374,0.3673336040775887,0.7806495709274572,0.15664312246393305,0.6400165848888836,21,String[],1,0.1,2,500.0,4
MacJuv,0.8020733730187718,0.17734014221568678,0.7527917519689947,0.10848454986453682,0.5089210761719007,21,"[""StrPur""]",2,0.1,2,500.0,4
MacPyr,0.9001665925808554,0.3379255469370603,0.6735182152422774,0.14942218816456154,0.6728922252845335,21,"[""StrPur""]",2,0.1,2,500.0,4
MacJuv,0.9759057521021597,0.2281917227955841,0.834177906798902,0.1183327874916251,0.42487809198232906,21,"[""PycHel""]",3,0.1,2,500.0,4
MacPyr,1.0931923109128234,0.34695368247030695,0.7708128191989025,0.15796200629763207,0.648419243348157,21,"[""PycHel""]",3,0.1,2,500.0,4
MacJuv,0.8352626762312048,0.20742034885381047,0.7627363372101134,0.11258240451564908,0.4856685808584623,21,"[""StrPur"", ""PycHel""]",4,0.1,2,500.0,4
MacPyr,0.896422918482651,0.3088142200699487,0.6767684093195903,0.14805530024786048,0.6749395669213356,21,"[""StrPur"", ""PycHel""]",4,0.1,2,500.0,4
MacJuv,0.8006200468022274,0.1821683971649008,0.7441826887973659,0.11108829202408105,0.4916774012220772,21,String[],1,0.2,3,500.0,4
MacPyr,0.9614307655382108,0.3500200109694114,0.711127898228841,0.15095162766575954,0.6266609865093248,21,String[],1,0.2,3,500.0,4
MacJuv,0.7479462531494642,0.16899263572960405,0.7265965829022221,0.10488175696094117,0.5190638604395993,21,"[""StrPur""]",2,0.2,3,500.0,4
MacPyr,0.8199615498263768,0.31775786242337883,0.6377969993772988,0.14373178796141278,0.6682259162171892,21,"[""StrPur""]",2,0.2,3,500.0,4
MacJuv,0.869570444806102,0.20803812856662232,0.7760709631118675,0.11560369912349694,0.45362032017362725,21,"[""PycHel""]",3,0.2,3,500.0,4
MacPyr,0.9600055561607257,0.32961824058296907,0.716674406654586,0.1493960091513529,0.6328827748811803,21,"[""PycHel""]",3,0.2,3,500.0,4
MacJuv,0.8129475835185784,0.19987812108310996,0.7536363034794223,0.11067517914971958,0.4877008040776855,21,"[""StrPur"", ""PycHel""]",4,0.2,3,500.0,4
MacPyr,0.8313511816280375,0.2963772430971014,0.655263963098672,0.14177099849621216,0.666305232490963,21,"[""StrPur"", ""PycHel""]",4,0.2,3,500.0,4
MacJuv,0.8342769287058163,0.24984260556630083,0.6973010814241206,0.13191818118640206,0.1521472868408377,21,String[],1,0.5,4,500.0,4
MacPyr,1.454529126926949,0.3837298161535363,0.9842533208269124,0.15584840829603366,0.07551445728029371,21,String[],1,0.5,4,500.0,4
