variable,MSE,MSE_SE,MAE,MAE_SE,correlation,count,covars,covars_ind,tau_,tau_ind,regularization,regularization_ind
MacPyr,3.247172279185051,1.4847580265774614,1.2672661963039142,0.28646192302734214,-0.4748373831668629,21,"[""StrPur""]",2,0.1,2,500.0,3
MacJuv,0.6462806999634667,0.17223374323672183,0.6586218162799191,0.10307715631593817,0.7696121786714399,21,"[""PycHel""]",3,0.1,2,500.0,3
MacPyr,3.285209166896847,1.5290074177015,1.2690350077483548,0.2893751298924962,-0.49241895300090444,21,"[""PycHel""]",3,0.1,2,500.0,3
MacJuv,0.6469865886767006,0.17102238557330773,0.6605913077598237,0.10261718004039734,0.7690493250547402,21,"[""StrPur"", ""PycHel""]",4,0.1,2,500.0,3
MacPyr,3.2956396752788057,1.5181914072304967,1.2767231018348455,0.28858428547999765,-0.489519918437732,21,"[""StrPur"", ""PycHel""]",4,0.1,2,500.0,3
MacJuv,0.730856174026882,0.18130260929419859,0.7069978160034698,0.10747331347669654,0.757033906449885,21,String[],1,0.2,3,500.0,3
MacPyr,2.588095514402105,1.1057848924259446,1.1776102116651341,0.24508464902805555,-0.08835924626020507,21,String[],1,0.2,3,500.0,3
MacJuv,0.7397531541948413,0.18419529596302756,0.7127455455070416,0.10764454039910967,0.7546087886113416,21,"[""StrPur""]",2,0.2,3,500.0,3
MacPyr,2.613206670759089,1.1164222320576975,1.180431739978268,0.24696027798119347,-0.11695381751545161,21,"[""StrPur""]",2,0.2,3,500.0,3
MacJuv,0.7698434384788696,0.19091898792911904,0.7264521601862813,0.1100251556325996,0.7383023744460817,21,"[""PycHel""]",3,0.2,3,500.0,3
MacPyr,2.5876059474389703,1.086747880173355,1.1765828142503867,0.24528135157912126,-0.10983503206769399,21,"[""PycHel""]",3,0.2,3,500.0,3
MacJuv,0.8129796231301457,0.2104013127047376,0.7352967160511158,0.11668726633497561,0.7328985807991505,21,"[""StrPur"", ""PycHel""]",4,0.2,3,500.0,3
MacPyr,2.9479465894706123,1.3613470327547454,1.2333570264619336,0.26709333899852206,-0.2485766674182267,21,"[""StrPur"", ""PycHel""]",4,0.2,3,500.0,3
MacJuv,1.5041159581710855,0.37666674016109203,0.9950135965959139,0.1603221601589045,0.31517730767660257,21,String[],1,0.5,4,500.0,3
MacPyr,2.6176442480016413,1.238378503636303,1.1496197810941151,0.25456026859260267,-0.05858114960865795,21,String[],1,0.5,4,500.0,3
MacJuv,1.50410797420607,0.37665815459419993,0.9950142544269734,0.16032071102842638,0.3151792614913572,21,"[""StrPur""]",2,0.5,4,500.0,3
MacPyr,2.6175483193048965,1.2383388931133095,1.149584464662082,0.25455882207384706,-0.0585663175916229,21,"[""StrPur""]",2,0.5,4,500.0,3
MacJuv,1.5040958721400703,0.3766555641171401,0.9950115505711713,0.160319662919123,0.31518219927967633,21,"[""PycHel""]",3,0.5,4,500.0,3
MacPyr,2.617723549975137,1.238440413682671,1.1496412767221462,0.25456320284281175,-0.058582882636199,21,"[""PycHel""]",3,0.5,4,500.0,3
MacJuv,1.5041341444656031,0.37666457972460443,0.9950166969223292,0.16032403396112832,0.31516379648504744,21,"[""StrPur"", ""PycHel""]",4,0.5,4,500.0,3
MacPyr,2.6171791367877897,1.2380870113494238,1.149470573456564,0.2545482800516661,-0.058530709494867855,21,"[""StrPur"", ""PycHel""]",4,0.5,4,500.0,3
MacJuv,0.9610593380746396,0.2185299378579205,0.7994598330563095,0.12687066512874776,0.6343842900313632,21,String[],1,0.05,1,1000.0,4
MacPyr,3.5817714243859844,1.7681377710558552,1.3093327649696047,0.305566615892757,-0.3504610643366123,21,String[],1,0.05,1,1000.0,4
MacJuv,1.5077162873245544,0.4317535480118867,0.9689533065990608,0.16864841786321352,0.2785385875990712,21,"[""StrPur""]",2,0.05,1,1000.0,4
MacPyr,1.9983406431607438,0.6756588389347993,1.0169774559166838,0.2195560859231615,-0.050219601277615704,21,"[""StrPur""]",2,0.05,1,1000.0,4
MacJuv,0.8130744577177124,0.19637187273481926,0.7359272678140594,0.11650869371112312,0.6954663793291754,21,"[""PycHel""]",3,0.05,1,1000.0,4
MacPyr,4.024928467390733,1.7450322136704666,1.4437815309191084,0.3114822112390697,-0.5026907267212655,21,"[""PycHel""]",3,0.05,1,1000.0,4
MacJuv,1.516569021034999,0.4363641771915867,0.9726652602353234,0.16889217160163894,0.24390048307132214,21,"[""StrPur"", ""PycHel""]",4,0.05,1,1000.0,4
MacPyr,1.981922598393132,0.6764833512532897,1.0130066025391762,0.21860240410447998,-0.06492057939570423,21,"[""StrPur"", ""PycHel""]",4,0.05,1,1000.0,4
MacJuv,0.6813504228036328,0.18566029156101724,0.6667601372482319,0.10880747726612162,0.7566472515987045,21,String[],1,0.1,2,1000.0,4
MacPyr,3.122009766802404,1.4696967043114906,1.2332653959117483,0.2829369390914734,-0.3981242854479511,21,String[],1,0.1,2,1000.0,4
MacJuv,0.682850275946671,0.18606974004235893,0.6675961011393704,0.10889575788114574,0.7561111013599732,21,"[""StrPur""]",2,0.1,2,1000.0,4
MacPyr,3.1028840618253577,1.4555939899243455,1.2304529458343199,0.28185719876499543,-0.3926935713783451,21,"[""StrPur""]",2,0.1,2,1000.0,4
