variable,MSE,MSE_SE,MAE,MAE_SE,correlation,count,covars_ind,tau_,covars,tau_ind,regularization,regularization_ind
MacJuv,0.7124978446880951,0.1861643639199739,0.6627706577503606,0.11688303981186696,0.659345494769517,21,1,0.1,String[],2,500.0,3
MacPyr,2.632703575407939,1.4709499830212514,1.1009239883873825,0.2665211011534694,-0.18032013166368052,21,1,0.1,String[],2,500.0,3
MacJuv,0.6977534270659943,0.17736503472611087,0.6738106864689962,0.11039306723390162,0.6774104738722911,21,2,0.1,"[""StrPur""]",2,500.0,3
MacPyr,2.8573957269784995,1.4713982176875282,1.1537409605056308,0.27624966271744517,-0.3093556515766566,21,2,0.1,"[""StrPur""]",2,500.0,3
MacJuv,0.6718666702335483,0.1744639761515814,0.6508357462566293,0.11141801955431732,0.6858550453868352,21,3,0.1,"[""PycHel""]",2,500.0,3
MacPyr,2.5717427361186185,1.4612777427458943,1.0362555946960323,0.2736710688563728,-0.22799430170313806,21,3,0.1,"[""PycHel""]",2,500.0,3
MacJuv,0.6755656568180888,0.17393916919078092,0.654983338093364,0.11103208627197877,0.6835893279690797,21,4,0.1,"[""StrPur"", ""PycHel""]",2,500.0,3
MacPyr,2.7709657912222614,1.435721743938138,1.114444924376404,0.27649396935140663,-0.3702262297822865,21,4,0.1,"[""StrPur"", ""PycHel""]",2,500.0,3
MacJuv,0.8284545116519089,0.2631833597853866,0.711076045229481,0.1270482919115228,0.661640038280138,21,1,0.05,String[],1,100.0,2
MacPyr,2.453831415747818,1.1787319698442391,1.104961231162721,0.24828331532497122,-0.031932751480107914,21,1,0.05,String[],1,100.0,2
MacJuv,0.6893411569055871,0.21361289708827236,0.6589685707398567,0.1129383857868213,0.6852461322318559,21,2,0.2,"[""StrPur""]",3,500.0,3
MacPyr,2.4790755979810832,1.1987766065329353,1.1238374817762111,0.24658314140832782,-0.024479472781550594,21,2,0.2,"[""StrPur""]",3,500.0,3
MacJuv,0.7139439092210791,0.2205190864767917,0.6690286036765248,0.11540031123955406,0.6670947997101296,21,3,0.2,"[""PycHel""]",3,500.0,3
MacPyr,2.6101064891094183,1.3503561614722484,1.1300081901378265,0.2581848155228007,-0.12677492486805847,21,3,0.2,"[""PycHel""]",3,500.0,3
MacJuv,0.7020085718986495,0.22026925618568022,0.6531350567867729,0.11735057935408508,0.6852322430217208,21,4,0.2,"[""StrPur"", ""PycHel""]",3,500.0,3
MacPyr,2.6481806392083427,1.3577975012618093,1.1284145449461793,0.2621889827931611,-0.15958825899668477,21,4,0.2,"[""StrPur"", ""PycHel""]",3,500.0,3
