variable,MSE,MSE_SE,MAE,MAE_SE,correlation,count,covars,covars_ind,tau_,tau_ind,regularization,regularization_ind
MacPyr,1.2734314794825923,0.366904096880918,0.8485241108567488,0.1663487770885852,0.5162578628837822,21,"[""StrPur"", ""PycHel""]",4,0.5,4,100.0,2
MacJuv,0.6314260748981082,0.16136811459979428,0.6536877290650678,0.10102436037111621,0.5688897460770518,21,String[],1,0.05,1,500.0,3
MacPyr,1.964429907872324,0.562663750135262,1.072139901349096,0.20185959722137006,0.045999454572444046,21,String[],1,0.05,1,500.0,3
MacJuv,0.8324552508429333,0.2556155092323434,0.6906798695830172,0.13330727073114199,0.16949904270783067,21,"[""StrPur""]",2,0.05,1,500.0,3
MacPyr,1.337554569251806,0.36758998425983735,0.940034406878174,0.15064691884287015,0.5021610215769847,21,"[""StrPur""]",2,0.05,1,500.0,3
MacJuv,0.8210856496334278,0.25107312210450666,0.6882305930744329,0.13179990523324403,0.41078915106479946,21,"[""PycHel""]",3,0.05,1,500.0,3
MacPyr,1.29093918846056,0.3617610973203242,0.9207435552008201,0.1488573971989156,0.5190974933214003,21,"[""PycHel""]",3,0.05,1,500.0,3
MacJuv,0.7819354056683824,0.2533910699633665,0.6657793604690785,0.13012940652323118,0.3783944908772664,21,"[""StrPur"", ""PycHel""]",4,0.05,1,500.0,3
MacPyr,1.088758319840938,0.30688999972674935,0.8418596342487804,0.137846051097492,0.5381702460445354,21,"[""StrPur"", ""PycHel""]",4,0.05,1,500.0,3
MacJuv,0.5195128507740762,0.14728646650729826,0.5608344978683868,0.10123673166760931,0.6229674271792367,21,String[],1,0.1,2,500.0,3
MacPyr,1.2521002947416797,0.3918729800770402,0.8370678851953841,0.16604482080393335,0.4418225535189573,21,String[],1,0.1,2,500.0,3
MacJuv,0.5348164773295405,0.1496499992450919,0.5791901860926413,0.09983867128110029,0.6176260957554205,21,"[""StrPur""]",2,0.1,2,500.0,3
MacPyr,1.6906038531183758,0.48523616147469,0.972014660935474,0.19310506881551184,0.21982859308553068,21,"[""StrPur""]",2,0.1,2,500.0,3
MacJuv,0.5391857750926425,0.15188101398298012,0.5786588597168919,0.10107910248013412,0.6059118350310148,21,"[""PycHel""]",3,0.1,2,500.0,3
MacPyr,1.3402600187934746,0.3985347785527933,0.8416622307769475,0.1777448604147314,0.35872191868461756,21,"[""PycHel""]",3,0.1,2,500.0,3
MacJuv,0.5577904486971741,0.16762490646033903,0.576360160375036,0.10620720649504836,0.5905137040309475,21,"[""StrPur"", ""PycHel""]",4,0.1,2,500.0,3
MacPyr,1.7556451168346403,0.5065278114798817,0.963195912659001,0.20345745878090035,0.15696165024303252,21,"[""StrPur"", ""PycHel""]",4,0.1,2,500.0,3
MacJuv,0.5259116455246646,0.1888071555950443,0.5440564848457858,0.10721804578099527,0.6469663245359593,21,String[],1,0.2,3,500.0,3
MacPyr,1.3968645361647272,0.42167746740857703,0.9000798456118037,0.1712776704197251,0.41492494439882704,21,String[],1,0.2,3,500.0,3
MacJuv,0.5377161742637819,0.19516754804892703,0.5487745894081306,0.10875721223986008,0.638241653733636,21,"[""StrPur""]",2,0.2,3,500.0,3
MacPyr,1.4196434744096447,0.42884367385053207,0.9136602693213449,0.17100707392872558,0.4021597634800318,21,"[""StrPur""]",2,0.2,3,500.0,3
MacJuv,0.5259202075629064,0.19456902395857492,0.5334694472475499,0.10984774836479352,0.6579979650118077,21,"[""PycHel""]",3,0.2,3,500.0,3
MacPyr,1.4737636765671662,0.4377702395881195,0.9145366465686218,0.17851980263407558,0.3746222681257524,21,"[""PycHel""]",3,0.2,3,500.0,3
MacJuv,0.5245620905488109,0.19409057604972188,0.532730995224234,0.10971776913431298,0.6592789065144717,21,"[""StrPur"", ""PycHel""]",4,0.2,3,500.0,3
MacPyr,1.4803343822290744,0.4393581532428914,0.9166765610919375,0.1788908137068158,0.37110158036870694,21,"[""StrPur"", ""PycHel""]",4,0.2,3,500.0,3
MacJuv,0.8417562309460083,0.2812844200827483,0.7204043392684668,0.12703814759928847,0.38008257663607453,21,String[],1,0.5,4,500.0,3
MacPyr,1.3413328827684807,0.4310122041287365,0.8687295447360777,0.1712661468112026,0.46883596740825295,21,String[],1,0.5,4,500.0,3
MacJuv,0.8417773759179991,0.2812931115939758,0.7204186464505331,0.12703825206692287,0.38015406400787444,21,"[""StrPur""]",2,0.5,4,500.0,3
